Year,Month,Total Precipitation
2016,1,1.79
2016,2,3.14
2016,3 ,2.83
2016,4,2.25
2016,5,3.61
2016,6,3.10
2016,7,3.12
2016,8,3.29
2016,9,3.08
2016,10,3.94
2016,11,1.43
2016,12,3.43
2017,1,3.54
2017,2,1.46
2017,3 ,5.02
2017,4,3.54
2017,5,5.15
2017,6,3.78
2017,7,6.42
2017,8,2.63
2017,9,0.58
2017,10,4.11
2017,11,4.15
2017,12,1.77
2018,1,4.28
2018,2,7.04
2018,3,2.96
2018,4,4.43
2018,5,2.83
2018,6,6.10
2018,7,3.96
2018,8,4.53
2018,9,8.50
2018,10,3.59
2018,11,4.57
2018,12,4.29
2019,1,3.06
2019,2,3.97
2019,3,2.37
2019,4,3.44
2019,5,5.96
2019,6,6.42
2019,7,6.92
2019,8,2.45
2019,9,5.34
2019,10,7.19
2019,11,1.65
2019,12,3.52
2020,1,3.69
2020,2,3.30
2020,3,4.83
2020,4,2.30
2020,5,2.19
2020,6,2.30
2020,7,3.10
2020,8,5.57
2020,9,0.92
2020,10,3.29
2020,11,2.02
2020,12,3.53
2021,1,2.27
2021,2,2.82
2021,3,3.88
2021,4,2.67
2021,5,3.09
2021,6,4.29
2021,7,3.00
2021,8,6.41
2021,9,3.93
2021,10,3.84
2021,11,0.88
2021,12,3.45
2022,1,2.99
2022,2,5.10
2022,3,3.31
2022,4,3.23
2022,5,5.03
2022,6,3.00
2022,7,3.59
2022,8,3.39